0129112342,1,165,null,stationary,stationary,stationary
0129112342,166,208,reaching,reachable,stationary,stationary
0129112342,209,246,moving,movable,stationary,stationary
0129112342,247,269,placing,placeable,stationary,stationary
0129112342,270,310,reaching,stationary,reachable,stationary
0129112342,311,360,moving,stationary,movable,stationary
0129112342,361,382,placing,stationary,placeable,stationary
0129112342,383,443,null,stationary,stationary,stationary
0129112522,1,430,null,stationary,stationary,stationary,stationary
0129112522,431,473,reaching,reachable,stationary,stationary,stationary
0129112522,474,510,moving,movable,stationary,stationary,stationary
0129112522,511,537,placing,placeable,stationary,stationary,stationary
0129112522,538,567,reaching,stationary,reachable,stationary,stationary
0129112522,568,612,moving,stationary,movable,stationary,stationary
0129112522,613,644,placing,stationary,placeable,stationary,stationary
0129112522,645,700,reaching,stationary,stationary,reachable,stationary
0129112522,701,739,moving,stationary,stationary,movable,stationary
0129112522,740,764,placing,stationary,stationary,placeable,stationary
0129112522,765,803,null,stationary,stationary,stationary,stationary
0129112630,1,324,null,stationary,stationary,stationary,stationary
0129112630,325,350,reaching,reachable,stationary,stationary,stationary
0129112630,351,386,moving,movable,stationary,stationary,stationary
0129112630,387,415,placing,placeable,stationary,stationary,stationary
0129112630,416,438,reaching,stationary,reachable,stationary,stationary
0129112630,439,471,moving,stationary,movable,stationary,stationary
0129112630,472,482,placing,stationary,placeable,stationary,stationary
0129112630,483,500,reaching,stationary,stationary,reachable,stationary
0129112630,501,527,moving,stationary,stationary,movable,stationary
0129112630,528,554,placing,stationary,stationary,placeable,stationary
0129112630,555,608,null,stationary,stationary,stationary,stationary
